t,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,motion_state
40.53303408622742,14.457985275268554,0.19871873779296872,3.9624037475585934,-0.008921589651765448,-1.7066867845772797,-0.6519418348513976,0.4903189322669311,-0.3071964260698025,-0.6282354213201067,0.520132632959426,-89.45527285746432,-8.841624550545705,94.81892489891746,fast
40.54737734794617,14.423269351196288,-0.26695348510742184,3.907337109375,-0.11837751045402214,-1.0110691078485827,-0.1447428052458066,0.4862373827089104,-0.3029415994053155,-0.6325794720450845,0.5211936363323137,-89.41282484458057,-9.699529587889543,96.44776996919921,fast
40.56164193153381,14.371794015502928,-0.5374982727050781,3.871424084472656,-0.1356880575395372,-0.6612628986666749,0.19347865319425667,0.4824449966043931,-0.3015856752205667,-0.6349938973746043,0.5225664130521139,-89.40157937535001,-10.460340545194816,97.97028536829309,fast
40.57599067687988,13.959392779541014,-0.6853402252197265,3.5823242340087886,0.011984224905356573,0.08229167768344846,0.5179848320204118,0.48111362093960763,-0.3039720322413879,-0.633582951914508,0.5241214843952866,-89.38747416178825,-11.106175120268109,99.3337059264113,fast
40.59028768539429,13.716381311035155,-0.6661866119384765,3.4524387939453125,0.08375641628299205,0.4170510267064087,0.7777761963576415,0.48047339536657957,-0.30852665784837674,-0.6301779912571446,0.5261485693955003,-89.35694070478736,-11.626984913485161,100.5257750113146,fast
40.60455298423767,13.031639636230468,-0.38307226562499996,3.005321633911133,0.32290828217210765,0.9880327644193974,1.104945536273876,0.48166099458206735,-0.3158418793230318,-0.6231648256271624,0.5290672865193778,-89.279654598791,-12.007549657799597,101.51630047978865,fast
40.61887717247009,12.770073104858398,-0.1388636962890625,2.7904420349121093,0.43409525768291585,1.1938951166825225,1.3154684204446396,0.4831547426660768,-0.3244780313773434,-0.614432918408542,0.5326797260725463,-89.14835388135167,-12.242989816055724,102.30950276534182,fast
40.63311052322388,12.309787835693358,0.5087678527832031,2.433705987548828,0.6874950354039553,1.548095541663061,1.5547534443882594,0.4857554618444653,-0.334508862400802,-0.6029010072920341,0.5372669984931537,-88.94382616127777,-12.326528825660677,102.89890858596814,fast
40.64736557006836,12.170924139404296,0.852934341430664,2.2296002960205077,0.7985488528602596,1.7038904654326965,1.635580383472164,0.48883986586803235,-0.345017390804071,-0.5900280244110483,0.5420936413484948,-88.66496885775474,-12.263920867355202,103.29495405477974,fast
40.66163897514343,12.078148825073242,1.2395979095458984,2.0260931549072265,0.9081379317170202,1.8654111855460025,1.6716662162427378,0.4925693264116684,-0.3558182868682937,-0.5758720899388007,0.546937054365478,-88.31152275423511,-12.063401573834486,103.50682836406084,fast
40.6759831905365,11.734580886840819,2.186504666137695,1.4939818359375,1.1167966031247285,2.233193732085945,1.4900386298993338,0.4988759721098031,-0.36649220486988066,-0.5597747458534745,0.5508706401014584,-87.8721948593838,-11.747214310640041,103.52391821214088,fast
40.69022250175476,11.415553515625,2.494159579467773,1.3156138122558594,1.1411645270989537,2.398442877725362,1.373924806371879,0.5060894571456284,-0.37702558157946997,-0.5431752689897688,0.5537921987159067,-87.35686722006031,-11.332183702138263,103.35595097464322,fast
40.70454716682434,10.663175643920898,2.5480291168212887,1.2701239807128906,1.2227904145098822,2.6549052906999924,1.4278538184459835,0.51409543784811,-0.3883645199142221,-0.5248100892724524,0.5562852241911488,-86.76802083139648,-10.816214595013763,103.0034849816912,fast
40.71882939338684,10.070610733032225,3.0334535034179684,0.9882067352294921,1.3164005268261674,2.7658259501017928,0.8277104667966272,0.5248595479931639,-0.39731695935200073,-0.5071126954867567,0.5563258063112374,-86.10866730364438,-10.252395110860029,102.47246292831514,fast
40.73311710357666,8.64426509399414,2.967612957763672,1.1887211242675781,1.0460896761831249,2.7184216826983825,0.9610016793550931,0.5338964894759983,-0.40738286971998755,-0.49002162924875,0.5557630240060177,-85.41242082612344,-9.630995325032455,101.78895004919048,fast
40.74740147590637,7.939771255493164,2.858078231811523,1.332373223876953,1.0542123175078664,2.629472102289736,0.6696518561004244,0.543556098900774,-0.4158554356656193,-0.47386060547664705,0.5541364006744507,-84.68621940357636,-8.978926123431304,100.97306790094838,fast
40.76177382469177,7.395090377807617,2.8993782104492185,1.3952210174560546,1.0226538585904275,2.4558339992165696,0.6408897163275686,0.5524788412870709,-0.4235429751080958,-0.45829062008362076,0.5525831934741129,-83.93891323091945,-8.300566051434245,100.05214278304108,fast
40.77610802650452,6.368576416015625,3.123834616088867,1.4407108489990235,0.9550095669024148,1.9947076564693493,0.3620567501962724,0.5605787655575524,-0.4286038371280266,-0.4455404155732532,0.5509482158024617,-83.18189540230193,-7.6266251187608765,99.07043083749822,fast
40.79038333892822,6.00106646118164,3.105878103637695,1.5490484741210937,0.859934715986586,1.6283898485289503,0.3463440997648049,0.5671276883500596,-0.43243854815346344,-0.434626736058086,0.5499660784822438,-82.42642458581199,-6.963230489722229,98.0643962421737,fast
40.804632902145386,5.86699116821289,3.1310172210693357,1.7908628417968748,0.6968160992192327,0.8709868345104148,0.1744370514001901,0.5714204418583021,-0.43336894341930515,-0.4279015970432072,0.5500638697042107,-81.68743851603556,-6.337166680139025,97.09371250340104,fast
40.81887722015381,5.986102700805664,3.229778039550781,1.829768618774414,0.6170544245713595,0.5179848320204118,0.07190534943213943,0.5747619924460644,-0.43290435470981364,-0.4232244790147599,0.5505665373734543,-80.97033433980835,-5.759723316077276,96.18080234580034,fast
40.83312177658081,6.281188055419921,3.327341757202148,2.0632032806396485,0.38016624560881124,-0.09467537675231692,-0.09427590258880503,0.5761659331651829,-0.4304922352904066,-0.422486673769142,0.5515562195298408,-80.29269271170851,-5.252298526445404,95.36453104158156,fast
40.84740495681763,6.5014546081542965,3.2261867370605466,2.2200234893798827,0.22623553460223128,-0.3877562547155371,-0.10865697247523291,0.5762687169751644,-0.42749957963551327,-0.42360063969046724,0.5529204041280124,-79.6633707423729,-4.815703701301166,94.65796124592707,fast
40.861647844314575,7.129333993530273,3.3411084167480465,2.2762872283935547,0.02862898171835181,-0.9129316216791629,-0.3274356560252423,0.5750300564494105,-0.4225818524610999,-0.4283056451578042,0.5543638574765584,-79.0946482366973,-4.471937391294446,94.08630331721686,fast
40.876023054122925,7.485471490478515,3.2243910858154297,2.404975567626953,-0.13622068975755303,-1.1530155939498061,-0.3209109113545482,0.5724805418990934,-0.41733243835789213,-0.434660044063949,0.5560308544815679,-78.5951610487579,-4.217118349459633,93.6558844181618,fast
40.890310764312744,7.860164050292968,3.01968684387207,2.5474305664062498,-0.28309402387542304,-1.3375726574922975,-0.3257046013166908,0.5689071457252429,-0.4119263306182782,-0.4422929598085609,0.5577080736280416,-78.1713259342461,-4.046315995009063,93.36670502974242,fast
40.90456819534302,8.630498434448242,2.54084651184082,2.6701334014892577,-0.46312371356477955,-1.5474297513905413,-0.5021390235344404,0.5647875040901739,-0.4058129954203981,-0.4519500611313046,0.5586340754151378,-77.83209605528643,-3.9690761952492264,93.21751209483105,fast
40.91885232925415,9.03392141418457,2.309207501220703,2.749740606689453,-0.5293032666532486,-1.5958992832299834,-0.5661880477508461,0.5604835600200451,-0.399489776428962,-0.4622036011080952,0.5591367709234508,-77.57626871410294,-3.981472073777783,93.19765750710629,fast
40.93313407897949,9.673173257446289,2.050633721923828,2.6677391998291013,-0.5631254124972549,-1.5777897878174447,-0.8729842053279743,0.557274966519789,-0.3922910497720898,-0.4733216031545283,0.5581388751433707,-77.39965752527462,-4.097584588108605,93.28728641514559,fast
40.94740581512451,9.988010775756836,1.706467233276367,2.8036101440429686,-0.6443518257446716,-1.5821840036160755,-0.7960188498246843,0.5534217954020395,-0.38558807067619766,-0.4844705615548016,0.5570766833327041,-77.30313792733222,-4.299928323738945,93.4784214410877,fast
40.961711406707764,10.641029278564453,1.168968960571289,2.929904281616211,-0.6313023364032834,-1.541837113101375,-0.7644603909072454,0.5495159152202368,-0.37901503284452576,-0.4952643687226307,0.5559613915293964,-77.27948769670947,-4.575746052356712,93.75974857212128,fast
40.976184368133545,10.961253750610352,1.1761515655517578,2.9179332733154295,-0.6130596829362406,-1.481915988574592,-0.6585997375765956,0.5453128164369254,-0.37285094351090076,-0.5054987431610969,0.5550559672818687,-77.32215128711866,-4.907934622311353,94.12178016897364,fast
40.99062418937683,11.384428894042967,0.9439140045166015,3.1292215698242187,-0.6229133789695338,-1.2251872594909536,-0.552472768136938,0.5415332675779909,-0.3681047222244097,-0.5143797327316685,0.5537635995055037,-77.42399481787189,-5.276481374731129,94.53811281725852,fast
41.00498986244202,11.473612905883789,0.7829039428710937,3.2136171783447263,-0.5926865005971345,-1.0408965120574702,-0.5834985948363611,0.5386039287687261,-0.3638463773347508,-0.5224030224707829,0.551920921626153,-77.57505737634689,-5.675953422260913,94.98813587489187,fast
41.01927733421326,11.532869396972655,0.6398503936767578,3.2219968841552733,-0.5520732939734261,-0.8490157555172612,-0.5842975431633849,0.5364738806556467,-0.36017979561805463,-0.5294414693721448,0.5496890218222225,-77.76514000025962,-6.099289729528641,95.45316743021472,fast
41.03353452682495,11.476605657958984,0.3848679168701172,3.2118215270996093,-0.4808337348138065,-0.48469531839442137,-0.47444214819761626,0.5354503280342162,-0.3580718909067591,-0.5344802769575565,0.5471821458105904,-77.9801357340658,-6.529331879268716,95.9040615689946,fast
41.047890424728394,11.416750616455078,0.36691140441894526,3.180696905517578,-0.4400873701355941,-0.3261040754802027,-0.38682414833400935,0.5347740089463523,-0.35674273210637164,-0.5385409692677888,0.5447247074117703,-78.21265312536495,-6.956170922997592,96.33100852224737,fast
41.062182903289795,11.174936248779296,0.44053310546874996,3.0789433349609374,-0.387889412770041,-0.06218481145335021,-0.20160129451899833,0.5345200956668654,-0.3569567135355977,-0.5408885577689078,0.5425032166400687,-78.45303475476393,-7.361267573006838,96.71739383719493,fast
