--- NEW SESSION ---
107899,0.34,0.47,1.53,-42.48,-71.78,-79.22
107909,0.21,0.42,1.76,-12.02,-106.20,-81.91
107919,0.12,0.39,1.72,44.01,-131.59,-65.31
107929,0.27,0.32,1.39,98.94,-162.90,-45.65
107939,0.39,0.17,1.10,93.99,-174.68,-52.86
107949,0.36,0.16,1.07,13.37,-173.46,-84.23
107959,0.35,0.25,1.24,1.89,-187.19,-82.28
107969,0.27,0.19,1.14,3.05,-226.01,-72.02
107979,0.32,0.13,1.00,-11.23,-245.91,-57.43
107989,0.39,0.17,1.00,-21.30,-245.48,-51.51
107999,0.41,0.24,1.01,-14.47,-229.19,-48.16
108009,0.48,0.24,0.91,-0.85,-207.95,-41.50
108019,0.45,0.19,0.80,-8.00,-163.70,-43.58
108029,0.37,0.17,0.77,1.65,-132.14,-46.57
108039,0.28,0.09,0.63,27.10,-99.12,-52.61
108049,0.29,0.05,0.61,35.89,-106.81,-50.66
108059,0.22,0.03,0.65,45.23,-135.13,-39.92
108069,0.16,0.03,0.61,53.22,-148.07,-33.08
108079,0.09,0.02,0.45,37.60,-133.42,-13.67
108089,0.04,0.06,0.40,21.67,-103.52,-0.79
108099,-0.09,0.08,0.35,13.73,-44.56,23.93
108109,-0.17,0.12,0.26,15.62,-13.98,34.91
108119,-0.16,0.23,0.11,15.81,5.31,40.22
108129,-0.17,0.29,0.11,16.24,6.84,33.26
108139,-0.18,0.24,0.21,30.09,13.67,19.29
108149,-0.14,0.18,0.25,43.15,14.16,13.43
108159,-0.13,0.13,0.19,48.46,-4.46,14.77
108169,-0.14,0.10,0.17,44.25,-32.35,24.23
108179,0.01,0.05,0.34,48.71,-23.44,38.02
108189,0.29,0.03,0.48,56.76,-3.60,49.80
108199,0.41,-0.05,0.56,58.29,-6.23,50.54
108209,0.74,-0.12,0.82,62.68,-8.24,47.73
108219,0.81,-0.09,0.89,60.30,-22.71,45.23
108229,0.84,-0.06,0.97,62.56,-45.90,34.30
108239,0.77,-0.11,1.05,83.80,-45.41,25.88
108249,0.87,-0.15,1.51,137.76,33.26,13.73
108259,1.09,-0.15,1.70,171.39,44.56,0.98
108269,1.16,-0.09,1.89,204.71,-12.82,-14.34
108279,1.30,0.02,1.97,213.68,-63.35,-12.94
108289,1.08,0.49,2.93,182.19,190.86,-50.05
108299,1.47,0.28,2.60,165.89,9.28,-21.06
108309,1.49,0.23,2.25,158.39,-74.52,-13.37
108319,1.18,0.29,1.80,110.17,-117.37,-10.68
108329,1.09,0.37,1.80,76.72,-33.45,-22.40
108339,0.99,0.24,1.58,62.07,65.31,-24.48
108349,0.89,0.19,1.25,58.11,91.74,-27.28
108359,0.80,0.13,1.07,40.04,121.22,-15.62
108369,0.81,0.15,0.89,25.21,85.69,-7.63
108379,0.86,0.25,0.75,19.84,37.29,-8.91
108389,0.45,0.30,0.61,25.82,0.06,-28.44
108399,0.33,0.31,0.45,41.87,-50.90,-31.25
108409,0.24,0.30,0.41,52.67,-75.50,-37.05
108419,0.12,0.29,0.25,50.54,-119.32,-39.00
108429,0.02,0.29,0.16,45.59,-125.67,-30.33
108439,-0.23,0.24,-0.01,28.02,-95.28,-17.09
108449,-0.35,0.29,-0.03,12.57,-49.87,-6.29
108459,-0.29,0.30,0.04,8.36,-1.34,-0.18
108469,-0.30,0.31,0.05,12.70,27.16,2.99
108479,-0.31,0.28,-0.01,10.44,25.94,5.62
108489,-0.34,0.27,0.07,-5.31,30.27,15.08
108499,-0.32,0.23,0.09,-11.11,37.78,21.06
108509,-0.23,0.12,0.09,-13.98,39.43,23.68
108519,-0.14,0.07,0.18,-14.77,28.44,22.09
108529,-0.03,0.03,0.29,-4.39,-10.31,28.32
108539,0.16,-0.05,0.45,3.91,-11.90,28.93
108549,0.48,-0.10,0.70,7.14,-26.18,31.13
108559,0.61,-0.12,0.89,6.59,-33.20,29.05
108569,0.86,-0.16,1.16,11.47,-33.75,23.32
108579,0.95,-0.18,1.35,25.63,-44.56,17.21
108589,0.98,-0.31,1.72,62.62,17.52,24.54
108599,1.06,-0.20,2.00,64.94,60.91,17.46
108609,1.32,-0.19,2.17,69.95,51.64,23.80
108619,1.40,-0.02,2.25,75.56,-35.46,23.56
108629,1.31,0.04,2.13,70.37,-62.56,22.83
108639,1.35,0.09,2.21,56.21,-29.36,5.00
108649,1.24,0.05,2.06,60.73,-14.16,-4.76
108659,1.09,-0.01,1.81,60.97,16.42,-10.99
108669,0.96,-0.03,1.55,61.89,29.54,-9.83
108679,0.74,-0.02,1.33,57.92,88.07,-2.69
108689,0.77,0.02,1.12,50.17,91.31,1.95
108699,0.58,0.05,0.83,46.51,64.39,5.80
108709,0.47,0.10,0.74,46.94,46.75,0.92
108719,0.68,0.09,0.66,50.05,18.07,-4.46
108729,0.18,0.12,0.51,49.93,-20.81,-12.88
108739,0.09,0.12,0.38,42.66,-23.62,-11.35
108749,-0.04,0.12,0.31,37.35,-15.44,-11.23
108759,-0.12,0.16,0.23,36.87,-5.80,-8.61
108769,-0.24,0.21,0.08,35.71,-2.26,-3.36
108779,-0.32,0.26,0.04,36.80,1.10,-4.39
108789,-0.36,0.27,0.01,50.66,6.47,-7.32
108799,-0.39,0.26,-0.02,58.72,9.77,-9.03
108809,-0.36,0.19,-0.09,62.19,13.92,-5.80
108819,-0.29,0.17,0.02,56.27,15.26,-1.10
108829,-0.15,0.12,0.10,54.87,-5.98,2.01
108839,-0.01,0.10,0.24,57.98,-10.25,2.87
108849,0.28,0.02,0.55,59.27,-27.65,-0.55
108859,0.48,-0.04,0.85,69.76,-35.58,1.46
108869,0.73,-0.14,1.08,75.68,-48.52,8.73
108879,0.84,-0.15,1.30,74.16,-41.26,14.59
108889,0.67,-0.14,1.27,77.39,-33.26,32.29
108899,0.84,-0.10,1.77,73.97,90.52,32.23
108909,0.91,-0.01,1.82,56.76,132.02,31.07
108919,0.95,-0.09,1.80,46.45,103.45,28.38
108929,0.81,-0.06,1.70,46.63,56.76,20.26
108939,0.64,-0.08,1.58,51.82,13.31,15.20
108949,0.59,-0.08,1.48,59.20,1.46,12.51
108959,0.52,-0.06,1.30,73.55,-5.07,7.45
108969,0.43,-0.04,1.16,83.50,-10.25,0.18
108979,0.34,0.04,0.99,90.21,-14.59,-6.16
108989,0.28,0.12,0.85,95.03,-13.37,-9.40
108999,0.19,0.22,0.69,97.05,0.92,-15.14
109009,0.06,0.25,0.61,106.57,13.79,-15.14
109019,-0.11,0.30,0.71,127.81,40.53,12.33
109029,0.08,0.25,0.82,160.77,34.24,29.91
109039,0.26,-0.00,0.35,135.80,27.95,41.20
109049,0.36,0.10,0.80,89.90,44.56,42.42
109059,1.00,0.20,1.37,87.77,53.22,42.79
109069,-0.23,0.48,0.30,208.19,367.31,-21.73
109079,0.09,0.24,1.22,27.04,336.61,32.04
109089,0.30,-0.05,1.41,60.85,304.99,37.17
109099,0.10,0.11,1.34,92.90,232.42,28.81
109109,0.11,0.19,1.20,93.69,190.98,28.75
109119,0.11,0.17,1.24,59.69,176.82,28.75
109129,0.15,0.14,1.18,37.78,164.67,19.53
109139,0.07,0.11,1.22,42.72,149.66,13.67
109149,0.03,0.07,1.51,-25.70,101.87,5.98
109159,0.04,0.15,1.54,-5.55,63.05,-12.76
109169,-0.21,0.16,1.08,50.84,-14.95,14.34
109179,-0.07,0.19,1.00,63.42,-27.95,24.90
109189,-0.06,0.23,0.85,56.58,-13.31,24.41
109199,-0.04,0.23,0.86,39.37,26.55,23.50
109209,-0.10,0.21,0.92,24.60,48.28,21.18
109219,-0.09,0.16,0.84,1.04,83.50,20.14
109229,-0.37,0.00,0.38,-3.66,134.22,8.91
109239,-0.17,0.09,0.54,79.28,232.67,-31.86
109249,0.08,0.35,3.71,-83.50,36.80,-32.59
109259,-0.05,0.16,1.07,51.57,48.89,-49.01
109269,-0.11,0.19,1.11,74.04,-22.71,-56.82
109279,-0.29,0.24,1.27,125.06,-94.67,-31.07
109289,-0.33,0.04,1.25,159.61,-122.56,-12.51
109299,-0.17,0.14,1.03,169.86,-129.27,6.35
109309,-0.11,0.14,1.06,165.83,-120.18,5.19
109319,-0.14,0.18,0.91,148.93,-100.71,4.21
109329,-0.10,0.19,0.89,129.58,-82.28,5.25
109339,-0.06,0.19,0.88,107.67,-61.58,6.77
109349,-0.06,0.19,0.87,78.67,-29.24,3.66
109359,-0.07,0.22,0.92,57.37,-10.25,3.17
109369,-0.07,0.21,0.95,36.19,12.15,5.31
109379,-0.08,0.19,0.99,25.57,20.57,5.92
109389,-0.09,0.19,1.04,18.25,27.47,5.68
109399,-0.10,0.17,1.06,20.45,25.88,5.86
109409,-0.11,0.17,1.08,27.40,20.26,6.10
109419,-0.12,0.17,1.08,33.63,11.78,6.29
109429,-0.12,0.16,1.09,47.12,0.73,5.86
109439,-0.13,0.16,1.08,54.93,-8.36,6.41
109449,-0.11,0.16,1.08,67.63,-19.47,4.94
109459,-0.12,0.16,1.05,72.75,-24.66,6.23
109469,-0.10,0.18,1.05,77.58,-30.52,5.98
109479,-0.10,0.17,1.03,78.74,-30.52,4.76
109489,-0.09,0.18,1.01,76.66,-30.09,5.86
109499,-0.09,0.18,1.01,71.78,-25.76,5.31
109509,-0.10,0.18,0.99,67.93,-20.39,5.07
109519,-0.09,0.18,1.00,59.69,-12.82,5.98
109529,-0.10,0.18,1.01,55.97,-7.93,5.55
109539,-0.10,0.19,1.02,51.51,-3.91,6.04
109549,-0.10,0.18,1.04,49.68,-2.56,5.49
109559,-0.10,0.18,1.03,50.29,-4.46,5.74
109569,-0.10,0.18,1.05,52.86,-4.82,5.62
109579,-0.10,0.18,1.05,56.34,-10.19,6.23
109589,-0.10,0.18,1.04,57.86,-11.54,5.86
109599,-0.10,0.18,1.05,62.38,-15.20,6.04
109609,-0.10,0.18,1.04,64.15,-15.69,4.76
109619,-0.10,0.18,1.03,64.03,-17.52,5.80
109629,-0.10,0.18,1.02,64.51,-16.36,5.31
109639,-0.09,0.18,1.02,63.54,-15.32,6.16
109649,-0.10,0.18,1.02,60.18,-13.00,5.92
109659,-0.10,0.18,1.03,58.84,-11.11,5.13
109669,-0.10,0.18,1.03,57.31,-9.77,5.55
109679,-0.10,0.18,1.03,56.52,-9.40,5.86
109689,-0.09,0.18,1.03,56.95,-9.16,5.86
109699,-0.09,0.19,1.04,56.88,-10.56,5.98
109709,-0.09,0.19,1.04,57.86,-11.05,5.86
109719,-0.09,0.19,1.04,58.41,-11.96,5.92
109729,-0.09,0.19,1.03,60.61,-13.31,5.74
109739,-0.09,0.19,1.02,61.83,-13.85,6.10
109749,-0.10,0.18,1.03,61.71,-13.73,5.31
109759,-0.09,0.18,1.03,61.34,-12.08,5.43
109769,-0.10,0.18,1.03,58.53,-10.74,6.47
109779,-0.10,0.18,1.03,58.47,-10.80,5.86
109789,-0.10,0.18,1.03,57.31,-10.50,5.43
109799,-0.09,0.18,1.03,57.43,-10.38,5.98
109809,-0.09,0.18,1.03,57.43,-9.70,5.92
109819,-0.09,0.19,1.03,58.11,-10.74,5.37
109829,-0.08,0.18,1.04,59.02,-11.47,5.80
109839,-0.09,0.18,1.04,59.94,-13.37,5.07
109849,-0.09,0.19,1.03,60.49,-12.27,6.10
109859,-0.10,0.18,1.03,58.78,-12.63,6.10
109869,-0.09,0.18,1.02,59.88,-12.63,5.49
109879,-0.10,0.18,1.03,57.68,-12.02,4.82
109889,-0.09,0.19,1.03,57.74,-10.80,5.86
109899,-0.09,0.18,1.04,57.86,-11.05,5.92
109909,-0.08,0.18,1.04,57.74,-10.74,6.04
109919,-0.09,0.19,1.03,58.84,-11.05,5.86
109929,-0.09,0.19,1.03,58.47,-12.08,5.74
109939,-0.09,0.19,1.03,58.65,-11.78,6.53
109949,-0.09,0.19,1.02,58.23,-11.96,5.74
109959,-0.10,0.19,1.03,57.98,-12.02,5.25
109969,-0.09,0.18,1.03,57.68,-10.80,5.92
109979,-0.10,0.19,1.04,57.56,-10.50,5.92
109989,-0.09,0.19,1.04,56.95,-10.50,5.98
109999,-0.10,0.18,1.03,57.01,-11.29,5.37
110009,-0.09,0.18,1.03,58.29,-12.33,6.04
110019,-0.09,0.18,1.03,58.23,-12.39,4.94
110029,-0.09,0.18,1.04,60.61,-13.49,5.62
110039,-0.09,0.19,1.03,60.42,-13.18,5.68
110049,-0.08,0.18,1.03,60.55,-12.76,5.31
110059,-0.09,0.19,1.02,59.02,-13.37,5.62
110069,-0.09,0.18,1.02,58.35,-11.29,5.43
110079,-0.08,0.19,1.04,57.80,-10.68,5.19
110089,-0.09,0.19,1.03,56.64,-10.50,5.25
110099,-0.09,0.19,1.03,58.41,-10.19,6.77
110109,-0.09,0.19,1.02,57.92,-11.23,5.80
110119,-0.08,0.19,1.03,57.98,-10.38,5.68
110129,-0.09,0.18,1.03,58.23,-11.90,6.23
110139,-0.09,0.19,1.04,58.29,-11.17,5.25
110149,-0.09,0.19,1.03,57.92,-12.39,5.92
110159,-0.09,0.19,1.03,58.53,-11.05,6.16
110169,-0.10,0.19,1.03,57.98,-12.63,5.86
110179,-0.08,0.19,1.05,59.51,-10.56,5.43
110189,-0.10,0.19,0.99,60.12,-11.23,4.88
110199,-0.10,0.19,0.99,59.88,-10.99,6.29
110209,-0.08,0.19,1.07,57.92,-12.94,5.43
110219,-0.09,0.19,1.04,57.62,-12.88,6.04
110229,-0.09,0.18,1.02,58.17,-11.35,6.23
110239,-0.09,0.19,1.03,57.92,-11.41,5.80
110249,-0.09,0.19,1.02,57.43,-10.80,5.49
110259,-0.09,0.19,1.04,58.35,-10.01,4.94
110269,-0.09,0.19,1.03,57.62,-11.96,6.41
110279,-0.09,0.19,1.02,58.53,-10.93,7.08
110289,-0.09,0.19,1.03,58.96,-11.23,6.35
110299,-0.08,0.20,1.04,58.84,-12.08,5.86
110309,-0.08,0.19,1.03,58.35,-12.02,4.76
110319,-0.08,0.19,1.03,58.41,-11.84,5.68
110329,-0.09,0.19,1.03,58.90,-10.56,6.10
110339,-0.08,0.19,1.04,59.02,-11.90,6.04
110349,-0.08,0.19,1.03,58.90,-10.44,5.80
110359,-0.09,0.19,1.03,58.29,-10.80,6.23
110369,-0.08,0.19,1.03,57.62,-11.17,5.80
110379,-0.08,0.19,1.03,57.62,-11.23,5.31
110389,-0.08,0.19,1.03,57.62,-11.35,5.74
110399,-0.25,0.17,1.18,65.19,-18.13,-8.97
110409,-0.36,0.07,1.18,91.00,-45.23,-39.49
110419,-0.42,0.10,0.82,91.43,-42.97,-50.35
110429,-0.26,0.04,0.89,67.26,-24.78,-45.59
110439,-0.17,0.05,1.03,49.44,-25.63,-82.15
110449,-0.21,0.07,1.12,51.09,-23.99,-107.97
110459,-0.01,0.02,1.25,97.35,-51.09,-157.17
110469,-0.11,0.04,1.03,119.26,-79.47,-175.29
110479,0.26,0.24,1.02,101.38,-106.32,-157.53
110489,0.43,0.25,0.94,94.85,-87.22,-129.03
110499,0.14,0.36,1.00,66.65,-43.03,-100.71
110509,-0.19,0.43,0.94,58.72,-17.70,-55.60
110519,-0.12,0.51,1.16,67.44,-37.78,-8.36
110529,-0.06,0.46,1.07,90.82,-52.06,0.43
110539,-0.09,0.44,0.99,97.96,-62.44,2.32
110549,-0.11,0.40,0.91,97.60,-56.46,10.44
110559,0.02,0.26,0.89,86.00,-43.52,11.17
110569,-0.02,0.26,0.87,57.31,-9.09,5.43
110579,-0.01,0.24,0.99,39.86,8.61,5.86
110589,-0.02,0.23,1.02,36.99,15.32,5.13
110599,-0.04,0.23,1.07,38.21,9.09,5.98
110609,-0.04,0.23,1.06,48.46,1.77,5.13
110619,-0.03,0.23,1.08,55.24,-6.65,5.62
110629,-0.03,0.24,1.04,64.09,-17.70,5.62
110639,-0.03,0.24,1.02,65.55,-19.23,6.23
110649,-0.04,0.24,0.98,65.49,-18.13,4.94
110659,-0.02,0.24,1.01,61.34,-16.24,5.31
110669,-0.04,0.24,1.03,58.35,-11.35,4.76
110679,-0.02,0.24,1.01,56.34,-9.28,5.00
110689,-0.01,0.23,1.01,56.03,-7.51,4.03
110699,-0.04,0.24,1.02,53.83,-7.39,3.17
110709,-0.04,0.24,1.03,53.47,-6.04,5.07
110719,-0.02,0.23,1.04,55.66,-8.00,5.68
110729,-0.02,0.23,1.04,58.78,-11.54,4.46
110739,-0.02,0.23,1.02,59.63,-14.47,3.48
110749,-0.04,0.24,1.02,60.36,-14.47,4.70
110759,-0.03,0.23,1.02,58.41,-13.31,5.37
