timestamp,location,temp,hum
2026-01-16 08:23:38,Team9,26.75,26.39
2026-01-16 08:23:44,Team9,29.13,43.69
2026-01-16 08:23:49,Team9,29.64,45.27
2026-01-16 08:23:54,Team9,30.18,55.94
2026-01-16 08:23:59,Team9,30.86,56.36
2026-01-16 08:24:04,Team9,30.84,48.04
2026-01-16 08:24:09,Team9,31.45,75.74
2026-01-16 08:24:14,Team9,29.44,54.28
2026-01-16 08:24:19,Team9,28.71,57.33
2026-01-16 08:24:24,Team9,28.33,44.48
2026-01-16 08:24:29,Team9,27.95,42.59
2026-01-16 08:24:34,Team9,27.74,63.79
2026-01-16 08:24:39,Team9,28.37,90.43
2026-01-16 08:24:44,Team9,27.82,83.76
2026-01-16 08:24:50,Team9,27.58,65.56
2026-01-16 08:24:55,Team9,29.43,98.56
2026-01-16 08:25:00,Team9,29.53,100.0
2026-01-16 08:25:05,Team9,31.27,100.0
2026-01-16 08:25:10,Team9,31.56,100.0
2026-01-16 08:25:15,Team9,28.86,89.09
2026-01-16 08:25:20,Team9,28.56,40.1
2026-01-16 08:25:25,Team9,28.6,34.93
2026-01-16 08:25:30,Team9,27.99,27.14
2026-01-16 08:25:35,Team9,27.57,26.65
2026-01-16 08:25:40,Team9,27.2,24.74
2026-01-16 08:25:46,Team9,27.95,38.87
2026-01-16 08:25:51,Team9,28.84,41.66
2026-01-16 08:49:48,Team9,23.12,28.08
2026-01-16 08:49:53,Team9,23.05,25.87
2026-01-16 08:49:58,Team9,22.99,25.31
2026-01-16 08:50:03,Team9,22.36,53.9
2026-01-16 08:50:08,Team9,22.1,74.69
2026-01-16 08:50:13,Team9,22.08,40.63
